age,status,sex,orientation,body_type,diet,drinks,drugs,smokes
22,single,m,straight,a little extra,strictly anything,socially,never,sometimes
35,single,m,straight,average,mostly other,often,sometimes,no
38,available,m,straight,thin,anything,socially,,no
23,single,m,straight,thin,vegetarian,socially,,no
29,single,m,straight,athletic,,socially,never,no
29,single,m,straight,average,mostly anything,socially,,no
32,single,f,straight,fit,strictly anything,socially,never,
31,single,f,straight,average,mostly anything,socially,never,no
24,single,f,straight,,strictly anything,socially,,when drinking
37,single,m,straight,athletic,mostly anything,not at all,never,no
35,available,m,straight,average,mostly anything,socially,,yes
28,seeing someone,m,straight,average,mostly anything,socially,never,no
24,single,m,straight,,,often,,
30,single,f,straight,skinny,mostly anything,socially,never,no
29,single,f,straight,thin,mostly anything,socially,never,no
39,single,f,straight,fit,strictly anything,socially,,no
33,single,m,straight,fit,,socially,,sometimes
26,single,f,straight,average,,socially,never,no
31,single,m,straight,average,mostly vegetarian,rarely,never,no
33,single,m,straight,athletic,mostly anything,socially,never,no
27,single,f,straight,average,mostly anything,socially,never,no
22,single,f,straight,athletic,,socially,never,no
30,single,m,straight,fit,mostly anything,socially,never,no
30,single,m,straight,thin,strictly vegan,not at all,never,no
33,single,m,straight,thin,strictly anything,socially,sometimes,sometimes
28,single,m,straight,fit,anything,rarely,never,no
22,single,m,straight,fit,mostly anything,socially,never,trying to quit
22,single,m,straight,average,anything,socially,never,no
30,single,m,straight,fit,,socially,,no
32,single,m,straight,fit,,socially,sometimes,no
27,single,f,straight,average,anything,socially,,trying to quit
27,single,m,straight,athletic,anything,socially,never,no
38,single,f,straight,average,mostly anything,socially,never,no
20,single,f,straight,average,mostly vegetarian,socially,never,no
27,single,m,straight,thin,strictly anything,socially,never,when drinking
26,single,m,straight,athletic,,,never,
32,single,m,straight,athletic,mostly anything,socially,never,when drinking
25,single,m,bisexual,fit,mostly anything,socially,,
27,single,f,straight,curvy,,socially,,
35,single,m,straight,fit,,socially,,no
30,single,m,straight,average,,often,never,no
35,single,m,straight,athletic,strictly anything,,,no
30,single,m,straight,average,strictly anything,often,sometimes,no
40,single,m,straight,fit,,socially,,no
29,single,f,bisexual,curvy,anything,socially,sometimes,no
27,single,m,straight,average,mostly anything,socially,never,
27,single,m,straight,athletic,mostly anything,socially,,
28,single,m,straight,average,anything,often,sometimes,no
31,single,f,bisexual,thin,strictly anything,socially,sometimes,no
26,single,f,straight,athletic,mostly anything,socially,never,no
33,single,f,gay,fit,,often,sometimes,no
38,single,f,gay,athletic,anything,socially,never,no
31,single,m,straight,average,mostly anything,socially,,no
36,single,m,straight,athletic,,socially,,
33,single,m,straight,fit,mostly anything,rarely,never,no
33,single,m,gay,athletic,anything,socially,never,no
26,single,m,straight,fit,anything,socially,,no
21,single,m,straight,thin,,socially,,when drinking
22,single,m,straight,fit,,socially,sometimes,sometimes
31,single,m,straight,average,,socially,,when drinking
31,seeing someone,m,straight,fit,mostly anything,socially,never,no
35,single,m,straight,thin,mostly vegetarian,socially,,no
31,single,m,straight,thin,strictly anything,socially,sometimes,when drinking
28,single,f,straight,curvy,mostly vegetarian,socially,,sometimes
28,single,m,straight,athletic,anything,socially,never,no
29,single,m,straight,fit,mostly vegetarian,socially,never,no
22,single,m,straight,athletic,mostly anything,rarely,never,no
30,single,f,straight,thin,,rarely,sometimes,sometimes
31,single,f,bisexual,average,strictly anything,socially,,sometimes
29,single,m,gay,thin,,socially,sometimes,no
25,single,f,straight,,,rarely,never,no
33,single,f,straight,athletic,mostly anything,socially,,no
35,single,m,straight,athletic,mostly anything,socially,sometimes,no
31,single,f,straight,curvy,mostly anything,socially,never,no
28,single,m,straight,fit,strictly anything,,,
29,available,f,bisexual,curvy,strictly vegetarian,socially,,
26,single,m,straight,fit,mostly anything,often,sometimes,no
25,seeing someone,f,bisexual,curvy,,socially,never,no
34,single,f,straight,curvy,mostly anything,socially,never,no
21,single,m,straight,fit,mostly anything,rarely,never,no
28,single,f,straight,thin,,often,never,no
31,single,m,gay,average,mostly anything,socially,never,no
34,single,m,straight,fit,anything,socially,never,no
32,single,f,gay,average,,socially,never,no
30,single,m,straight,athletic,,socially,never,no
28,single,m,straight,average,,socially,,no
40,single,f,straight,fit,anything,socially,,no
27,single,f,straight,a little extra,mostly anything,often,never,no
43,single,m,straight,a little extra,,socially,never,no
37,single,f,straight,average,mostly anything,socially,never,no
24,single,m,straight,average,anything,socially,never,yes
29,single,m,straight,,,,,
29,available,f,straight,a little extra,,,sometimes,
28,single,m,straight,fit,mostly vegetarian,socially,,no
29,single,m,straight,fit,mostly anything,socially,sometimes,no
25,single,m,straight,athletic,mostly anything,socially,,no
34,single,m,straight,skinny,mostly other,very often,,no
39,single,m,straight,fit,,socially,never,no
31,single,f,straight,curvy,anything,socially,sometimes,no
46,single,m,straight,average,mostly anything,socially,never,no
38,single,m,straight,thin,,socially,,no
30,single,m,straight,fit,strictly anything,socially,never,no
41,single,m,straight,athletic,mostly anything,socially,often,no
39,single,m,straight,athletic,mostly other,socially,sometimes,no
31,single,f,straight,thin,anything,socially,never,no
42,single,f,straight,fit,mostly anything,socially,never,no
45,single,f,straight,fit,mostly anything,socially,never,no
21,single,m,straight,athletic,mostly anything,rarely,never,no
28,single,f,straight,,,socially,never,no
29,single,m,straight,fit,strictly anything,socially,never,no
36,single,m,straight,average,,socially,,no
28,single,m,straight,athletic,,socially,,no
24,single,m,straight,athletic,,socially,,
23,single,f,straight,curvy,mostly anything,rarely,never,when drinking
36,seeing someone,m,straight,fit,strictly anything,often,sometimes,no
35,single,m,straight,thin,,socially,never,when drinking
18,single,m,straight,,,,never,
55,single,m,straight,athletic,,not at all,never,no
21,single,f,straight,average,mostly vegetarian,not at all,never,no
28,seeing someone,f,straight,thin,mostly anything,socially,,no
24,single,m,straight,average,,socially,never,no
